Nama Jabatan 
Fotocopy Jilid
Operator Potong
Supervisor Cetak
Teknisi Fotocopy Jilid
Ass Manager Keuangan
CGO /Fotocopy Jilid
Hard Cover
Offset
 Store Supervisor
Sablon
Leader Fotocopy Jilid
Messanger
Finishing/ Driver
Staff Gudang
Store Manager
Purchasing Head
Prepress & Platemaker
Leader CGO
CGO
Store Supervisor 
Finishing
Messanger / Driver
Admin Finance Store
Finance Supervisor
Finishing - Opr. Laminating
Sales Support
Admin Piutang
Accounting Supervisor
IT
Leader Operator Indoor
Operator Indoor
Spv Store
Admin Star
HR Officer
Finishing Supervisor 
Messenger
Ass Opr Offset
Leader Tim Kreatif
CGO Corporate
Operator Potong Store
 Ass Opr. Offset
Production Head
Sales
Fotocopy Jilid 
Operator Indoor Indigo
Traffic 
Runner
Staff Cleaning
Operator Outdoor
Op Indigo
Admin Accounting
Admin Gudang
Design Product
R & D Junior Officer
HR Supervisor
Admin Store
Operator Indigo
CGO Setting
Finance & Accounting manager
CRM
Sales Counter
HR Officer 
Web Design
Internal Audit
Maintenance AC
Opr. Indoor
CSO
 Leader Sales Counter
Ass. Opr Offset
Opr Indoor Flatbed
Opr Indoor Indigo
Leader Sales Counter
Operator Indoor SEM
Tim Kreatif
Sales Counter Email
Opr. Indoor Indigo
GA
Teknisi Indoor
Manager Store
Admin Purchasing
Supervisor Sales
Cashier
Ass. Sales Support
Account Receivebale Sales
Sales Counter STR
Admin Customer Store
Creative Design
Operator indoor mimaki
HR Manager
CGO 
Tellestore
Web Administrator
PKL
Freelace Admin HRD
Marketing Store
Admin Store SEM
Finishing 
Fotocopy Jilid STR
CGO SEM
Operator Indoor Esco
Estimator
Sales Online Print
Marketing Manager 
Runner Indoor
Sales Counter SEM
Magang
CGO STR
Manager Operasional
