TransactionType
Terminasi
Karyawan baru
Evaluasi
Rotasi
Promosi
Magang
Perpanjang Kontrak
Perubahan Status
Mutasi Antar Cabang
Migration
Mutasi
Demosi
Evaluasi Rotasi
